"日付","始値","高値","安値","終値","前日比","出来高","貸株残高","融資残高","貸借倍率","逆日歩","5DMA","25DMA","75DMA","5DVMA","25DVMA","75DVMA"
"2017/12/29","8,990.0","9,026.0","8,917.0","8,920.0","-10.0","3,584,500","7,200","343,200","47.67","-","8,932.20","9,246.16","9,450.44","2,861,960","4,699,812","5,751,412"
"2017/12/28","8,920.0","9,003.0","8,910.0","8,930.0","+8.0","3,152,300","500","335,300","670.60","-","8,940.20","9,280.72","9,444.94","2,937,460","4,737,804","5,752,968"
"2017/12/27","8,967.0","8,976.0","8,916.0","8,922.0","-11.0","2,739,600","1,100","321,400","292.18","-","8,951.60","9,309.48","9,438.42","3,087,380","4,801,944","5,808,960"
"2017/12/26","8,928.0","8,964.0","8,918.0","8,933.0","-23.0","2,282,000","900","311,100","345.67","-","8,969.40","9,334.12","9,433.06","3,194,760","4,876,380","5,828,360"
"2017/12/25","8,950.0","8,980.0","8,912.0","8,956.0","-4.0","2,551,400","1,000","340,100","340.10","-","8,994.80","9,355.56","9,428.34","3,502,420","4,937,220","5,863,734"
"2017/12/22","9,029.0","9,088.0","8,956.0","8,960.0","-27.0","3,962,000","1,500","345,800","230.53","-","9,019.60","9,378.40","9,423.86","3,973,620","5,150,744","5,895,937"
"2017/12/21","8,993.0","9,043.0","8,911.0","8,987.0","-24.0","3,901,900","2,300","338,500","147.17","-","9,013.80","9,401.84","9,421.32","4,954,660","5,290,172","5,910,630"
"2017/12/20","9,079.0","9,079.0","8,984.0","9,011.0","-49.0","3,276,500","3,800","337,500","88.82","-","9,046.40","9,415.96","9,420.82","5,706,660","5,472,256","5,930,544"
"2017/12/19","9,175.0","9,178.0","9,020.0","9,060.0","-20.0","3,820,300","7,500","362,900","48.39","-","9,117.20","9,436.72","9,419.64","5,702,560","5,582,320","5,945,917"
"2017/12/18","9,001.0","9,105.0","8,992.0","9,080.0","+149.0","4,907,400","8,900","311,500","35.00","-","9,194.00","9,461.36","9,416.74","5,586,540","5,695,756","5,944,952"
"2017/12/15","8,920.0","9,009.0","8,874.0","8,931.0","-219.0","8,867,200","13,000","334,200","25.71","-","9,274.60","9,486.36","9,412.13","5,217,120","5,838,056","5,940,777"
"2017/12/14","9,200.0","9,209.0","9,042.0","9,150.0","-215.0","7,661,900","16,800","288,400","17.17","-","9,369.40","9,525.32","9,410.97","4,896,980","5,842,436","5,868,628"
"2017/12/13","9,427.0","9,444.0","9,351.0","9,365.0","-79.0","3,256,000","16,200","223,600","13.80","-","9,406.60","9,560.32","9,406.77","4,394,700","5,732,520","5,807,661"
"2017/12/12","9,500.0","9,525.0","9,427.0","9,444.0","-39.0","3,240,200","22,500","221,600","9.85","-","9,374.60","9,588.12","9,399.02","4,953,900","6,017,380","5,805,410"
"2017/12/11","9,465.0","9,497.0","9,419.0","9,483.0","+78.0","3,060,300","29,600","237,800","8.03","-","9,353.40","9,608.16","9,390.42","5,483,840","6,287,708","5,819,433"
